Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
01/01/2020,106,PM2.5,Bakersfield-California,06-029-0014,AQS,3,37,22,106,29
01/02/2020,99,PM2.5,Bakersfield-California,06-029-0014,AQS,3,34,24,99,23
01/03/2020,86,PM2.5,Bakersfield-California,06-029-0014,AQS,3,31,25,86,27
01/04/2020,78,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,40,35,78,34
01/05/2020,73,PM2.5,Bakersfield-California,06-029-0014,AQS,5,36,15,73,20
01/06/2020,64,PM2.5,Bakersfield-California,06-029-0014,AQS,2,34,19,64,18
01/07/2020,76,PM2.5,Bakersfield-California,06-029-0014,AQS,2,31,26,76,19
01/08/2020,60,PM2.5,Bakersfield-California,06-029-0014,AQS,2,35,11,60,24
01/09/2020,56,PM2.5,Bakersfield-California,06-029-0014,AQS,2,36,12,56,25
01/10/2020,69,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,2,37,23,69,30
01/11/2020,71,PM2.5,Bakersfield-California,06-029-0014,AQS,2,39,15,71,19
01/12/2020,62,PM2.5,Bakersfield-California,06-029-0014,AQS,3,36,12,62,29
01/13/2020,62,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,40,12,62,30
01/14/2020,62,PM2.5,Bakersfield-California,06-029-0014,AQS,2,41,19,62,24
01/15/2020,80,PM2.5,Bakersfield-California,06-029-0014,AQS,3,36,34,80,28
01/16/2020,73,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,40,30,73,24
01/17/2020,41,PM2.5,Bakersfield-California,06-029-0014,AQS,2,39,6,41,29
01/18/2020,72,PM2.5,Bakersfield-California,06-029-0014,AQS,2,38,15,72,19
01/19/2020,82,PM2.5,Bakersfield-California,06-029-0014,AQS,2,34,15,82,15
01/20/2020,90,PM2.5,Bakersfield-California,06-029-0014,AQS,2,37,28,90,20
01/21/2020,70,PM2.5,Bakersfield-California,06-029-0014,AQS,5,39,14,70,31
01/22/2020,58,PM2.5,Bakersfield-California,06-029-0014,AQS,2,39,28,58,27
01/23/2020,72,PM2.5,Bakersfield-California,06-029-0014,AQS,2,33,17,72,24
01/24/2020,87,PM2.5,Bakersfield-California,06-029-0014,AQS,2,32,27,87,24
01/25/2020,76,PM2.5,Bakersfield-California,06-029-0014,AQS,2,34,16,76,25
01/26/2020,79,PM2.5,Bakersfield-California,06-029-0014,AQS,3,34,17,79,22
01/27/2020,55,PM2.5,Bakersfield-California,06-029-0014,AQS,2,38,13,55,29
01/28/2020,71,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,34,32,71,25
01/29/2020,71,PM2.5,Bakersfield-California,06-029-0014,AQS,2,41,26,71,29
01/30/2020,60,PM2.5,Bakersfield-California,06-029-0014,AQS,3,35,26,60,29
01/31/2020,76,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,35,56,76,29
02/01/2020,93,PM2.5,Bakersfield-California,06-029-0014,AQS,3,39,37,93,34
02/02/2020,87,PM2.5,Bakersfield-California,06-029-0014,AQS,3,42,34,87,22
02/03/2020,39,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,2,38,31,39,31
02/04/2020,51,PM2.5,Bakersfield-California,06-029-0014,AQS,2,38,30,51,32
02/05/2020,61,PM2.5,Bakersfield-California,06-029-0014,AQS,2,38,31,61,34
02/06/2020,73,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,2,41,14,73,40
02/07/2020,74,PM2.5,Bakersfield-California,06-029-0014,AQS,3,45,10,74,41
02/08/2020,77,PM2.5,Bakersfield-California,06-029-0014,AQS,3,47,32,77,37
02/09/2020,63,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,2,43,31,63,30
02/10/2020,57,PM2.5,Bakersfield-California,06-029-0014,AQS,2,41,30,57,32
02/11/2020,55,PM2.5,Bakersfield-California,06-029-0014,AQS,3,41,37,55,42
02/12/2020,55,PM2.5,Bakersfield-California,06-029-0014,AQS,2,44,39,55,38
02/13/2020,59,PM2.5,Bakersfield-California,06-029-0014,AQS,2,49,33,59,37
02/14/2020,80,PM2.5,Bakersfield-California,06-029-0014,AQS,2,48,49,80,34
02/15/2020,91,PM2.5,Bakersfield-Airport (Planz),06-029-0016,AQS,2,51,52,91,42
02/16/2020,71,PM2.5,Bakersfield-California,06-029-0014,AQS,2,51,26,71,31
02/17/2020,59,PM2.5,Bakersfield-California,06-029-0014,AQS,2,44,31,59,32
02/18/2020,67,PM2.5,Bakersfield-Airport (Planz),06-029-0016,AQS,2,44,41,67,37
02/19/2020,69,PM2.5,Bakersfield-California,06-029-0014,AQS,2,47,47,69,38
02/20/2020,67,PM2.5,Bakersfield-California,06-029-0014,AQS,.,48,48,67,34
02/21/2020,82,PM2.5,Bakersfield-Airport (Planz),06-029-0016,AQS,.,48,54,82,29
02/22/2020,61,PM2.5,Bakersfield-California,06-029-0014,AQS,.,44,27,61,25
02/23/2020,55,PM2.5,Bakersfield-California,06-029-0014,AQS,.,41,13,55,31
02/24/2020,67,PM2.5,Bakersfield-California,06-029-0014,AQS,.,40,26,67,27
02/25/2020,62,PM2.5,Bakersfield-California,06-029-0014,AQS,.,46,32,62,26
02/26/2020,57,PM2.5,Bakersfield-California,06-029-0014,AQS,.,44,27,57,35
02/27/2020,59,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,.,48,51,59,40
02/28/2020,67,PM2.5,Bakersfield-California,06-029-0014,AQS,.,54,51,67,42
02/29/2020,53,PM2.5,Bakersfield-California,06-029-0014,AQS,.,51,33,53,35
03/01/2020,49,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,.,46,20,49,14
03/02/2020,51,PM2.5,Bakersfield-California,06-029-0014,AQS,.,41,24,51,25
03/03/2020,50,PM2.5,Bakersfield-California,06-029-0014,AQS,.,46,36,50,34
03/04/2020,63,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,.,50,55,63,35
03/05/2020,64,Ozone,Maricopa,06-029-0008,AQS,.,64,44,59,33
03/06/2020,64,Ozone,Mojave,06-029-0011,AQS,.,64,47,60,31
03/07/2020,39,Ozone,Mojave,06-029-0011,AQS,.,39,12,31,11
03/08/2020,39,Ozone,Mojave,06-029-0011,AQS,.,39,5,14,12
03/09/2020,40,Ozone,Mojave,06-029-0011,AQS,.,40,15,32,21
03/10/2020,55,PM10,Bakersfield-Golden / M St,06-029-0010,AQS,3,33,55,54,20
03/11/2020,58,PM2.5,Bakersfield-California,06-029-0014,AQS,3,37,13,58,22
03/12/2020,65,PM2.5,Bakersfield-California,06-029-0014,AQS,5,39,18,65,20
03/13/2020,43,Ozone,Edison,06-029-0007,AQS,2,43,9,39,11
03/14/2020,40,Ozone,Mojave,06-029-0011,AQS,2,40,7,29,15
03/15/2020,41,Ozone,Mojave,06-029-0011,AQS,2,41,4,19,14
03/16/2020,40,Ozone,Shafter,06-029-6001,AQS,2,40,17,20,22
03/17/2020,41,Ozone,Edison,06-029-0007,AQS,3,41,3,28,29
03/18/2020,42,Ozone,Maricopa,06-029-0008,AQS,3,42,6,18,28
03/19/2020,42,Ozone,Mojave,06-029-0011,AQS,3,42,6,34,25
03/20/2020,42,Ozone,Mojave,06-029-0011,AQS,2,42,5,25,25
03/21/2020,43,Ozone,Mojave,06-029-0011,AQS,2,43,9,38,14
03/22/2020,44,Ozone,Mojave,06-029-0011,AQS,2,44,10,34,16
03/23/2020,43,Ozone,Edison,06-029-0007,AQS,2,43,4,17,21
03/24/2020,37,Ozone,Mojave,06-029-0011,AQS,2,37,6,25,10
03/25/2020,41,Ozone,Mojave,06-029-0011,AQS,2,41,4,19,9
03/26/2020,42,Ozone,Mojave,06-029-0011,AQS,2,42,5,21,14
03/27/2020,43,Ozone,Mojave,06-029-0011,AQS,3,43,16,33,26
03/28/2020,53,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,3,44,17,53,25
03/29/2020,44,Ozone,Mojave,06-029-0011,AQS,3,44,8,36,23
03/30/2020,45,Ozone,Mojave,06-029-0011,AQS,3,45,15,39,24
03/31/2020,53,PM2.5,Lebec,06-029-2009,AQS,3,43,19,53,26
04/01/2020,41,Ozone,Mojave,06-029-0011,AQS,3,41,15,33,20
04/02/2020,47,Ozone,Mojave,06-029-0011,AQS,3,47,19,34,23
04/03/2020,49,PM2.5,Bakersfield-Airport (Planz),06-029-0016,AQS,3,47,34,49,25
04/04/2020,45,Ozone,Edison,06-029-0007,AQS,3,45,17,40,22
04/05/2020,39,Ozone,Mojave,06-029-0011,AQS,2,39,23,37,9
04/06/2020,37,Ozone,Mojave,06-029-0011,AQS,2,37,3,18,9
04/07/2020,39,Ozone,Maricopa,06-029-0008,AQS,2,39,5,17,18
04/08/2020,37,Ozone,Mojave,06-029-0011,AQS,2,37,2,23,12
04/09/2020,33,Ozone,Bakersfield-Muni,06-029-2012,AQS,3,33,5,18,22
04/10/2020,42,Ozone,Maricopa,06-029-0008,AQS,3,42,5,35,22
04/11/2020,53,PM2.5,Bakersfield-California,06-029-0014,AQS,5,44,10,53,21
04/12/2020,40,Ozone,Edison,06-029-0007,AQS,3,40,9,39,14
04/13/2020,44,PM2.5,Lebec,06-029-2009,AQS,2,41,14,44,15
04/14/2020,55,PM2.5,Bakersfield-California,06-029-0014,AQS,3,49,30,55,25
04/15/2020,64,Ozone,Edison,06-029-0007,AQS,3,64,34,55,30
04/16/2020,61,Ozone,Edison,06-029-0007,AQS,3,61,28,50,29
04/17/2020,39,PM2.5,Lebec,06-029-2009,AQS,2,39,13,39,15
04/18/2020,49,PM2.5,Bakersfield-Airport (Planz),06-029-0016,AQS,3,33,6,49,22
04/19/2020,52,PM2.5,Bakersfield-California,06-029-0014,AQS,5,39,13,52,23
04/20/2020,53,PM2.5,Lebec,06-029-2009,AQS,3,40,19,53,15
04/21/2020,52,PM2.5,Bakersfield-Golden / M St,06-029-0010,AQS,2,44,19,52,16
